day,repetition code,short,long,,
150,every_hour,"My mind holds only what I think with God.

(139) I will accept Atonement for myself.
(140) Only salvation can be said to cure.","My mind holds only what I think with God.

(139) I will accept Atonement for myself.
(140) Only salvation can be said to cure.",,
151,every_hour,All things are echoes of the Voice for God.,All things are echoes of the Voice for God.,,
152,every_hour,The power of decision is my own.,"The power of decision is my own. 
This day I will accept myself as what 
my Father's Will created me to be.",,
153,every_hour,In my defenselessness my safety lies.,In my defenselessness my safety lies.,,
154,every_hour,I am among the ministers of God.,"I am among the ministers of God, and I am grateful that 
I have the means by which to recognize that I am free.",,
155,every_hour,I will step back and let Him lead the way.,"I will step back and let Him lead the way,
For I would walk along the road to Him.",,
156,every_hour,I walk with God in perfect holiness.,"I walk with God in perfect holiness. I light the world, 
I light my mind and all the minds which God created 
one with me.",,
157,every_hour,Into His Presence would I enter now.,Into His Presence would I enter now.,,
158,every_hour,Today I learn to give as I receive.,Today I learn to give as I receive.,,
159,every_hour,I give the miracles I have received.,I give the miracles I have received.,,
160,every_hour,I am at home. Fear is the stranger here.,I am at home. Fear is the stranger here.,,
161,every_hour,"Give me your blessing, holy Son of God.","Give me your blessing, holy Son of God. 
I would behold you with the eyes of Christ, 
and see my perfect sinlessness in you.",,
162,every_hour,I am as God created me.,I am as God created me.,,
163,every_hour,There is no death. The Son of God is free.,There is no death. The Son of God is free.,,
164,every_hour,Now are we one with Him Who is our Source.,Now are we one with Him Who is our Source.,,
165,every_hour,Let not my mind deny the Thought of God.,Let not my mind deny the Thought of God.,,
166,every_hour,I am entrusted with the gifts of God.,I am entrusted with the gifts of God.,,
167,every_hour,"There is one life, and that I share with God.","There is one life, and that I share with God.",,
168,every_hour,Your grace is given me. I claim it now.,"Your grace is given me. I claim it now. Father, I come 
to You. And You will come to me who ask. 
I am the Son You love.",,
169,every_hour,By grace I live. By grace I am released.,"By grace I live. By grace I am released.
By grace I give. By grace I will release.",,
170,every_hour,There is no cruelty in God and none in me.,"You make what you defend against, and by your own 
defense against it is it real and inescapable. Lay down 
your arms, and only then do you perceive it false.",,
171,every_hour,"God is but Love, and therefore so am I.

(151) All things are echoes of the Voice for God.

God is but Love, and therefore so am I.

(152) The power of decision is my own.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(151) All things are echoes of the Voice for God.

God is but Love, and therefore so am I.

(152) The power of decision is my own.

God is but Love, and therefore so am I.",,
172,every_hour,"God is but Love, and therefore so am I.

(153) In my defenselessness my safety lies.

God is but Love, and therefore so am I.

(154) I am among the ministers of God.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(153) In my defenselessness my safety lies.

God is but Love, and therefore so am I.

(154) I am among the ministers of God.

God is but Love, and therefore so am I.",,
173,every_hour,"God is but Love, and therefore so am I.

(155) I will step back and let Him lead the way.

God is but Love, and therefore so am I.

(156) I walk with God in perfect holiness.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(155) I will step back and let Him lead the way.

God is but Love, and therefore so am I.

(156) I walk with God in perfect holiness.

God is but Love, and therefore so am I.",,
174,every_hour,"God is but Love, and therefore so am I.

(157) Into His Presence would I enter now.

God is but Love, and therefore so am I.

(158) Today I learn to give as I receive.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(157) Into His Presence would I enter now.

God is but Love, and therefore so am I.

(158) Today I learn to give as I receive.

God is but Love, and therefore so am I.",,
175,every_hour,"God is but Love, and therefore so am I.

(159) I give the miracles I have received.

God is but Love, and therefore so am I.

(160) I am at home. Fear is the stranger here.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(159) I give the miracles I have received.

God is but Love, and therefore so am I.

(160) I am at home. Fear is the stranger here.

God is but Love, and therefore so am I.",,
176,every_hour,"God is but Love, and therefore so am I.

(161) Give me your blessing, holy Son of God.

God is but Love, and therefore so am I.

(162) I am as God created me.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(161) Give me your blessing, holy Son of God.

God is but Love, and therefore so am I.

(162) I am as God created me.

God is but Love, and therefore so am I.",,
177,every_hour,"God is but Love, and therefore so am I.

(163) There is no death. The Son of God is free.

God is but Love, and therefore so am I.

(164) Now are we one with Him Who is our Source.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(163) There is no death. The Son of God is free.

God is but Love, and therefore so am I.

(164) Now are we one with Him Who is our Source.

God is but Love, and therefore so am I.",,
178,every_hour,"God is but Love, and therefore so am I.

(165) Let not my mind deny the Thought of God.

God is but Love, and therefore so am I.

(166) I am entrusted with the gifts of God.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(165) Let not my mind deny the Thought of God.

God is but Love, and therefore so am I.

(166) I am entrusted with the gifts of God.

God is but Love, and therefore so am I.",,
179,every_hour,"God is but Love, and therefore so am I.

(167) There is one life, and that I share with God.

God is but Love, and therefore so am I.

(168) Your grace is given me. I claim it now.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(167) There is one life, and that I share with God.

God is but Love, and therefore so am I.

(168) Your grace is given me. I claim it now.

God is but Love, and therefore so am I.",,
180,every_hour,"God is but Love, and therefore so am I.

(169) By grace I live. By grace I am released.

God is but Love, and therefore so am I.

(170) There is no cruelty in God and none in me.

God is but Love, and therefore so am I.","God is but Love, and therefore so am I.

(169) By grace I live. By grace I am released.

God is but Love, and therefore so am I.

(170) There is no cruelty in God and none in me.

God is but Love, and therefore so am I.",,
181,,"I trust my brothers, who are one with me.","It is not this that I would look upon.
I trust my brothers, who are one with me.",,
182,,I will be still an instant and go home.,I will be still an instant and go home.,,
183,,I call upon God's Name and on my own.,I call upon God's Name and on my own.,,
184,,The Name of God is my inheritance.,"Father, our Name is Yours. In It we are united with all living things, and You Who are their one Creator. What we made and call by many different names is but a shadow we have tried to cast across Your Own reality. And we are glad and thankful we were wrong. All our mistakes we give to You, that we may be absolved from all effects our errors seemed to have. And we accept the truth You give, in place of every one of them. Your Name is our salvation and escape from what we made. Your Name unites us in the oneness which is our inheritance and peace. Amen.",,
185,,I want the peace of God.,I want the peace of God.,,
186,,Salvation of the world depends on me.,Salvation of the world depends on me.,,
187,,I bless the world because I bless myself.,I bless the world because I bless myself.,,
188,,The peace of God is shining in me now.,"The peace of God is shining in me now.
Let all things shine upon me in that peace,
And let me bless them with the light in me.",,
189,,I feel the Love of God within me now.,"Father, we do not know the way to You. But we have called, and You have answered us. We will not interfere. Salvation's ways are not our own, for they belong to You. And it is unto You we look for them. Our hands are open to receive Your gifts. We have no thoughts we think apart from You, and cherish no beliefs of what we are, or Who created us. Yours is the way that we would find and follow. And we ask but that Your Will, which is our own as well, be done in us and in the world, that it become a part of Heaven now. Amen.",,
190,,I choose the joy of God instead of pain.,I choose the joy of God instead of pain.,,
191,,I am the holy Son of God Himself.,"I am the holy Son of God Himself. I cannot suffer, 
cannot be in pain; I cannot suffer loss, nor fail to do 
all that salvation asks.",,
192,,I have a function God would have me fill.,I have a function God would have me fill.,,
193,,All things are lessons God would have me learn.,"Forgive, and you will see this differently.

I will forgive, and this will disappear.",,
194,,I place the future in the Hands of God.,I place the future in the Hands of God.,,
195,,Love is the way I walk in gratitude.,Love is the way I walk in gratitude.,,
196,,It can be but myself I crucify.,It can be but myself I crucify.,,
197,,It can be but my gratitude I earn.,It can be but my gratitude I earn.,,
198,,Only my condemnation injures me.,"Only my condemnation injures me.
Only my own forgiveness sets me free.",,
199,,I am not a body. I am free.,"I am not a body. I am free. 
I hear the Voice that God has given me, 
and it is only this my mind obeys.",,
200,,There is no peace except the peace of God.,"There is no peace except the peace of God,
And I am glad and thankful it is so.",,
201,every_hour,"(181) I trust my brothers, who are one with me.","I am not a body. I am free.  For I am still as God created me.

(181) I trust my brothers, who are one with me. No one but is my brother. I am blessed with oneness with the universe and God, my Father, one Creator of the whole that is my Self, forever One with me.

I am not a body. I am free. 
For I am still as God created me.",,
202,every_hour,(182) I will be still an instant and go home.,"I am not a body. I am free. For I am still as God created me.

(182) I will be still an instant and go home.

Why would I choose to stay an instant more where I do not 
belong, when God Himself has given me His Voice to call 
me home?

I am not a body. I am free. 
For I am still as God created me.",,
203,every_hour,(183) I call upon God’s Name and on my own. ,"I am not a body. I am free. 
For I am still as God created me.

(183) I call upon God's Name and on my own.

The Name of God is my deliverance from every thought of 
evil and of sin, because it is my own as well as His.

I am not a body. I am free. 
For I am still as God created me.",,
204,every_hour,(184) The Name of God is my inheritance. ,"am not a body. I am free. 
For I am still as God created me.

(184) The Name of God is my inheritance.  God's Name reminds me that I am His Son, not slave to time, unbound by laws which rule the world of sick illusions, free in God, forever and forever one with Him.

I am not a body. I am free. 
For I am still as God created me.",,
205,every_hour,(185) I want the peace of God.,"I am not a body. I am free. 
For I am still as God created me.

(185) I want the peace of God.

The peace of God is everything I want. The peace of God is my one goal; the aim of all my living here, the end I seek, my purpose and my function and my life, while I abide where I am not at home.

I am not a body. I am free. 
For I am still as God created me.",,
206,every_hour,(186) Salvation of the world depends on me.,"I am not a body. I am free. 
For I am still as God created me.

(186) Salvation of the world depends on me.

I am entrusted with the gifts of God, because I am His Son. 
And I would give His gifts where He intended them to be.

I am not a body. I am free. 
For I am still as God created me.",,
207,every_hour,(187) I bless the world because I bless myself.,"I am not a body. I am free. 
For I am still as God created me.

(187) I bless the world because I bless myself.

God's blessing shines upon me from within my heart, 
where He abides. I need but turn to Him, and every sorrow 
melts away, as I accept His boundless Love for me.

I am not a body. I am free. 
For I am still as God created me.",,
208,every_hour,(188) The peace of God is shining in me now.,"I am not a body. I am free. 
For I am still as God created me.

(188) The peace of God is shining in me now.

I will be still, and let the earth be still along with me. And 
in that stillness we will find the peace of God. It is within 
my heart, which witnesses to God Himself.

I am not a body. I am free. 
For I am still as God created me.",,
209,every_hour,(189) I feel the Love of God within me now.,"I am not a body. I am free. 
For I am still as God created me.

(189) I feel the Love of God within me now.
The Love of God is what created me. The Love of God is 
everything I am. The Love of God proclaimed me as His 
Son. The Love of God within me sets me free.

I am not a body. I am free. 
For I am still as God created me.",,
210,every_hour,(190) I choose the joy of God instead of pain.,"I am not a body. I am free. 
For I am still as God created me.

(190) I choose the joy of God instead of pain.

Pain is my own idea. It is not a Thought of God, but one I 
thought apart from Him and from His Will. His Will is joy, 
and only joy for His beloved Son. And that I choose, instead 
of what I made.

I am not a body. I am free. 
For I am still as God created me.",,
211,every_hour,(191) I am the holy Son of God Himself.,"I am not a body. I am free. 
For I am still as God created me.
(191) I am the holy Son of God Himself.

In silence and in true humility I seek God's glory, to behold 
it in the Son whom He created as my Self.

I am not a body. I am free. 
For I am still as God created me.",,
212,every_hour,(192) I have a function God would have me fill.,"I am not a body. I am free. 
For I am still as God created me.

(192) I have a function God would have me fill.

I seek the function that would set me free from all the vain 
illusions of the world. Only the function God has given me 
can offer freedom. Only this I seek, and only this will I 
accept as mine.

I am not a body. I am free. 
For I am still as God created me.",,
213,every_hour,(193) All things are lessons God would have me learn.,"I am not a body. I am free. For I am still as God created me.

(193) All things are lessons God would have me learn.

A lesson is a miracle which God offers to me, in place of 
thoughts I made that hurt me. What I learn of Him becomes 
the way I am set free. And so I choose to learn His lessons 
and forget my own.

I am not a body. I am free. 
For I am still as God created me.",,
214,every_hour,(194) I place the future in the Hands of God.,"I am not a body. I am free. For I am still as God created me.

(194) I place the future in the Hands of God.

The past is gone; the future is not yet. Now am I freed 
from both. For what God gives can only be for good. And 
I accept but what He gives as what belongs to me.

I am not a body. I am free. 
For I am still as God created me.",,
215,every_hour,(195) Love is the way I walk in gratitude.,"I am not a body. I am free. 
For I am still as God created me.

(195) Love is the way I walk in gratitude.

The Holy Spirit is my only Guide. He walks with me in love. 
And I give thanks to Him for showing me the way to go.

I am not a body. I am free. 
For I am still as God created me.",,
216,every_hour,(196) It can be but myself I crucify.,"I am not a body. I am free. For I am still as God created me.

(196) It can be but myself I crucify.

All that I do I do unto myself. If I attack, I suffer. 
But if I forgive, salvation will be given me.
I am not a body. I am free. 
For I am still as God created me.",,
217,every_hour,(197) It can be but my gratitude I earn.,"I am not a body. I am free. For I am still as God created me.

(197) It can be but my gratitude I earn.

Who should give thanks for my salvation but myself? 
And how but through salvation can I find the Self to 
Whom my thanks are due?

I am not a body. I am free. 
For I am still as God created me.",,
218,every_hour,(198) Only my condemnation injures me.,"I am not a body. I am free. For I am still as God created me.

(198) Only my condemnation injures me.

My condemnation keeps my vision dark, and through my 
sightless eyes I cannot see the vision of my glory. 
Yet today I can behold this glory and be glad.

I am not a body. I am free. 
For I am still as God created me.",,
219,every_hour,(199) I am not a body. I am free.,"I am not a body. I am free. For I am still as God created me.

(199) I am not a body. I am free.

I am God's Son. Be still, my mind, and think a moment 
upon this. And then return to earth, without confusion 
as to what my Father loves forever as His Son.

I am not a body. I am free. 
For I am still as God created me.",,
220,every_hour,(200) There is no peace except the peace of God.,"I am not a body. I am free. 
For I am still as God created me.

(200) There is no peace except the peace of God.

Let me not wander from the way of peace, for I am lost on 
other roads than this. But let me follow Him Who leads me 
home, and peace is certain as the Love of God.

I am not a body. I am free. 
For I am still as God created me.",,
221,every_hour,Peace to my mind.  Let all my thoughts be still.,"Father, I come to You today to seek the peace that You alone can give. I come in silence. In the quiet of my heart, the deep recesses of my mind, I wait and listen for Your Voice. My Father, speak to me today. I come to hear Your Voice in silence and in certainty and love, sure You will hear my call and answer me.",,
222,every_hour,God is with me. I live and move in Him.,"Father, we have no words except Your Name upon our lips and in our minds, as we come quietly into Your Presence now, and ask to rest with You in peace a while.",,
223,every_hour,God is my life. I have no life but His.,"Our Father, let us see the face of Christ instead of our mistakes. For we who are Your holy Son are sinless. We would look upon our sinlessness, for guilt proclaims that we are not Your Son. And we would not forget You longer. We are lonely here, and long for Heaven, where we are at home. Today we would return. Our Name is Yours, and we acknowledge that we are Your Son.",,
224,every_hour,"God is my Father, and He loves His Son.","My Name, O Father, still is known to You. I have forgotten It, and do not know where I am going, who I am, or what it is I do. Remind me, Father, now, for I am weary of the world I see. Reveal what You would have me see instead.",,
225,every_hour,"God is my Father, and His Son loves Him.","Father, I must return Your Love for me, for giving and receiving are the same, and You have given all Your Love to me. I must return it, for I want it mine in full awareness, blazing in my mind and keeping it within its kindly light, inviolate, beloved, with fear behind and only peace ahead. How still the way Your loving Son is led along to You!",,
226,every_hour,My home awaits me. I will hasten there.,"Father, my home awaits my glad return. Your Arms are open and I hear Your Voice. What need have I to linger in a place of vain desires and of shattered dreams, when Heaven can so easily be mine?",,
227,every_hour,This is my holy instant of release.,"Father, it is today that I am free, because my will is Yours. I thought to make another will. Yet nothing that I thought apart from You exists. And I am free because I was mistaken, and did not affect my own reality at all by my illusions. Now I give them up, and lay them down before the feet of truth, to be removed forever from my mind. This is my holy instant of release. Father, I know my will is one with Yours.",,
228,every_hour,God has condemned me not. No more do I.,"Father, I was mistaken in myself, because I failed to realize the Source from which I came. I have not left that Source to enter in a body and to die. My holiness remains a part of me, as I am part of You. And my mistakes about myself are dreams. I let them go today. And I stand ready to receive Your Word alone for what I really am.",,
229,every_hour,"Love, which created me, is what I am.","Father, my thanks to You for what I am; for keeping my Identity untouched and sinless, in the midst of all the thoughts of sin my foolish mind made up. And thanks to You for saving me from them. Amen.",,
230,every_hour,Now will I seek and find the peace of God.,"Father, I seek the peace You gave as mine in my creation. What was given then must be here now, for my creation was apart from time, and still remains beyond all change. The peace in which Your Son was born into Your Mind is shining there unchanged. I am as You created me. I need but call on You to find the peace You gave. It is Your Will that gave it to Your Son.",,
231,every_hour,"Father, I will but to remember You.","What can I seek for, Father, but Your Love? Perhaps I think I seek for something else; a something I have called by many names. Yet is Your Love the only thing I seek, or ever sought. For there is nothing else that I could ever really want to find. Let me remember You. What else could I desire but the truth about myself?",,
232,every_hour,"Be in my mind, my Father, through the day.","Be in my mind, my Father, when I wake, and shine on me throughout the day today. Let every minute be a time in which I dwell with You. And let me not forget my hourly thanksgiving that You have remained with me, and always will be there to hear my call to You and answer me. As evening comes, let all my thoughts be still of You and of Your Love. And let me sleep sure of my safety, certain of Your care, and happily aware I am Your Son.",,
233,every_hour,I give my life to God to guide today.,"Father, I give You all my thoughts today. I would have none of mine. In place of them, give me Your Own. I give You all my acts as well, that I may do Your Will instead of seeking goals which cannot be obtained, and wasting time in vain imaginings. Today I come to You. I will step back and merely follow You. Be You the Guide, and I the follower who questions not the wisdom of the Infinite, nor Love whose tenderness I cannot comprehend, but which is yet Your perfect gift to me.",,
234,every_hour,"Father, today I am Your Son again.","We thank You, Father, that Father, today I am Your Son again.we cannot lose the memory of You and of Your Love. We recognize our safety, and give thanks for all the gifts You have bestowed on us, for all the loving help we have received, for Your eternal patience, and the Word which You have given us that we are saved.",,
235,every_hour,God in His mercy wills that I be saved.,"Father, Your Holiness is mine. Your Love created me, and made my sinlessness forever part of You. I have no guilt nor sin in me, for there is none in You.",,
236,every_hour,"I rule my mind, which I alone must rule.","Father, my mind is open to Your Thoughts, and closed today to every thought but Yours. I rule my mind, and offer it to You. Accept my gift, for it is Yours to me.",,
237,every_hour,Now would I be as God created me.,"Christ is my eyes today, and He the ears that listen to the Voice for God today. Father, I come to You through Him Who is Your Son, and my true Self as well. Amen.",,
238,every_hour,On my decision all salvation rests.,"Father, Your trust in me has been so great, I must be worthy. You created me, and know me as I am. And yet You placed Your Son's salvation in my hands, and let it rest on my decision. I must be beloved of You indeed. And I must be steadfast in holiness as well, that You would give Your Son to me in certainty that he is safe Who still is part of You, and yet is mine, because He is my Self.",,
239,every_hour,The glory of my Father is my own.,"We thank You, Father, for the light that shines forever in us. And we honor it, because You share it with us. We are one, united in this light and one with You, at peace with all creation and ourselves.",,
240,every_hour,Fear is not justified in any form.,"How foolish are our fears! Would You allow Your Son to suffer? Give us faith today to recognize Your Son, and set him free. Let us forgive him in Your Name, that we may understand his holiness, and feel the love for him which is Your Own as well.",,
241,every_hour,This holy instant is salvation come.,"We have forgiven one another now, and so we come at last to You again. Father, Your Son, who never left, returns to Heaven and his home. How glad are we to have our sanity restored to us, and to remember that we all are one.",,
242,every_hour,This day is God's. It is my gift to Him.,And so we give today to You. We come with wholly open minds. We do not ask for anything that we may think we want. Give us what You would have received by us. You know all our desires and our wants. And You will give us everything we need in helping us to find the way to You.,,
243,every_hour,Today I will judge nothing that occurs.,"Father, today I leave creation free to be itself. I honor all its parts, in which I am included. We are one because each part contains Your memory, and truth must shine in all of us as one.",,
244,every_hour,I am in danger nowhere in the world.,"Your Son is safe wherever he may be, for You are there with him. He need but call upon Your Name, and he will recollect his safety and Your Love, for they are one. How can he fear or doubt or fail to know he cannot suffer, be endangered, or experience unhappiness, when he belongs to You, beloved and loving, in the safety of Your Fatherly embrace?",,
245,every_hour,"Your peace is with me, Father.  I am safe.","Your peace surrounds me, Father. Where I go, Your peace goes there with me. It sheds its light on everyone I meet. I bring it to the desolate and lonely and afraid. I give Your peace to those who suffer pain, or grieve for loss, or think they are bereft of hope and happiness. Send them to me, my Father. Let me bring Your peace with me. For I would save Your Son, as is Your Will, that I may come to recognize my Self.",,
246,every_hour,To love my Father is to love His Son.,"I will accept the way You choose for me to come to You, my Father. For in that will I succeed, because it is Your Will. And I would recognize that what You will is what I will as well, and only that. And so I choose to love Your Son. Amen.",,
247,every_hour,Without forgiveness I will still be blind.,"So would I look on everyone today. My brothers are Your Sons. Your Fatherhood created them, and gave them all to me as part of You, and my own Self as well. Today I honor You through them, and thus I hope this day to recognize my Self.",,
248,every_hour,Whatever suffers is not part of me.,"Father, my ancient love for You returns, and lets me love Your Son again as well. Father, I am as You created me. Now is Your Love remembered, and my own. Now do I understand that they are one.",,
249,every_hour,Forgiveness ends all suffering and loss.,"Father, we would return our minds to You. We have betrayed them, held them in a vise of bitterness, and frightened them with thoughts of violence and death. Now would we rest again in You, as You created us.",,
250,every_hour,Let me not see myself as limited.,"He is Your Son, my Father. And today I would behold his gentleness instead of my illusions. He is what I am, and as I see him so I see myself. Today I would see truly, that this day I may at last identify with him.",,
251,every_hour,I am in need of nothing but the truth.,"And for that peace, our Father, we give thanks. What we denied ourselves You have restored, and only that is what we really want.",,
252,every_hour,The Son of God is my Identity.,"Father, You know my true Identity. Reveal It now to me who am Your Son, that I may waken to the truth in You, and know that Heaven is restored to me.",,
253,every_hour,My Self is ruler of the universe.,"You are the Self Whom You created Son, creating like Yourself and One with You. My Self, which rules the universe, is but Your Will in perfect union with my own, which can but offer glad assent to Yours, that it may be extended to Itself.",,
254,every_hour,Let every voice but God's be still in me.,"Father, today I would but hear Your Voice. In deepest silence I would come to You, to hear Your Voice and to receive Your Word. I have no prayer but this: I come to You to ask You for the truth. And truth is but Your Will, which I would share with You today.",,
255,every_hour,This day I choose to spend in perfect peace.,"And so, my Father, would I pass this day with You. Your Son has not forgotten You. The peace You gave him still is in his mind, and it is there I choose to spend today.",,
256,every_hour,God is the only goal I have today.,"And so, our Father, would we come to You in Your appointed way. We have no goal except to hear Your Voice, and find the way Your sacred Word has pointed out to us.",,
257,every_hour,Let me remember what my purpose is.,"Father, forgiveness is Your chosen means for our salvation. Let us not forget today that we can have no will but Yours. And thus our purpose must be Yours as well, if we would reach the peace You will for us.",,
258,every_hour,Let me remember that my goal is God.,Our goal is but to follow in the way that leads to You. We have no goal but this. What could we want but to remember You? What could we seek but our Identity?,,
259,every_hour,Let me remember that there is no sin.,"Father, I would not be insane today. I would not be afraid of love, nor seek for refuge in its opposite. For love can have no opposite. You are the Source of everything there is. And everything that is remains with You, and You with it.",,
260,every_hour,Let me remember God created me.,"Father, I did not make myself, although in my insanity I thought I did. Yet, as Your Thought, I have not left my Source, remaining part of Who created me. Your Son, my Father, calls on You today. Let me remember You created me. Let me remember my Identity. And let my sinlessness arise again before Christ's vision, through which I would look upon my brothers and myself today.",,
261,every_hour,God is my refuge and security.,"Let me not seek for idols. I would come, my Father, home to You today. I choose to be as You created me, and find the Son whom You created as my Self.",,
262,every_hour,Let me perceive no differences today.,"Father, You have one Son. And it is he that I would look upon today. He is Your one creation. Why should I perceive a thousand forms in what remains as one? Why should I give this one a thousand names, when only one suffices? For Your Son must bear Your Name, for You created him. Let me not see him as a stranger to his Father, nor as stranger to myself. For he is part of me and I of him, and we are part of You Who are our Source, eternally united in Your Love; eternally the holy Son of God.",,
263,every_hour,My holy vision sees all things as pure.,"Father, Your Mind created all that is, Your Spirit entered into it, Your Love gave life to it. And would I look upon what You created as if it could be made sinful? I would not perceive such dark and fearful images. A madman's dream is hardly fit to be my choice, instead of all the loveliness with which You blessed creation; all its purity, its joy, and its eternal, quiet home in You.",,
264,every_hour,I am surrounded by the Love of God.,"Father, You stand before me and behind, beside me, in the place I see myself, and everywhere I go. You are in all the things I look upon, the sounds I hear, and every hand that reaches for my own. In You time disappears, and place becomes a meaningless belief. For what surrounds Your Son and keeps him safe is Love itself. There is no source but this, and nothing is that does not share its holiness; that stands beyond Your one creation, or without the Love which holds all things within itself. Father, Your Son is like Yourself. We come to You in Your Own Name today, to be at peace within Your everlasting Love.",,
265,every_hour,Creation's gentleness is all I see.,"In quiet would I look upon the world, which but reflects Your Thoughts, and mine as well. Let me remember that they are the same, and I will see creation's gentleness.",,
266,every_hour,"My holy Self abides in you, God's Son.","Father, You gave me all Your Sons, to be my saviors and my counselors in sight; the bearers of Your holy Voice to me. In them are You reflected, and in them does Christ look back upon me from my Self. Let not Your Son forget Your holy Name. Let not Your Son forget his holy Source. Let not Your Son forget his Name is Yours.",,
267,every_hour,My heart is beating in the peace of God.,"Let me attend Your Answer, not my own. Father, my heart is beating in the peace the Heart of Love created. It is there and only there that I can be at home.",,
268,every_hour,Let all things be exactly as they are.,"Let me not be Your critic, Lord, today, and judge against You. Let me not attempt to interfere with Your creation, and distort it into sickly forms. Let me be willing to withdraw my wishes from its unity, and thus to let it be as You created it. For thus will I be able, too, to recognize my Self as You created me. In love was I created, and in love will I remain forever. What can frighten me, when I let all things be exactly as they are?",,
269,every_hour,My sight goes forth to look upon Christ's face.,"I ask Your blessing on my sight today. It is the means which You have chosen to become the way to show me my mistakes, and look beyond them. It is given me to find a new perception through the Guide You gave to me, and through His lessons to surpass perception and return to truth. I ask for the illusion which transcends all those I made. Today I choose to see a world forgiven, in which everyone shows me the face of Christ, and teaches me that what I look upon belongs to me; that nothing is, except Your holy Son.",,
270,every_hour,I will not use the body's eyes today.,"Father, Christ's vision is Your gift to me, and it has power to translate all that the body's eyes behold into the sight of a forgiven world. How glorious and gracious is this world! Yet how much more will I perceive in it than sight can give. The world forgiven signifies Your Son acknowledges his Father, lets his dreams be brought to truth, and waits expectantly the one remaining instant more of time which ends forever, as Your memory returns to him. And now his will is one with Yours. His function now is but Your Own, and every thought except Your Own is gone.",,
271,every_hour,Christ's is the vision I will use today.,"Father, Christ's vision is the way to You. What He beholds invites Your memory to be restored to me. And this I choose, to be what I would look upon today.",,
272,every_hour,How can illusions satisfy God's Son?,"Father, the truth belongs to me. My home is set in Heaven by Your Will and mine. Can dreams content me? Can illusions bring me happiness? What but Your memory can satisfy Your Son? I will accept no less than You have given me. I am surrounded by Your Love, forever still, forever gentle and forever safe. God's Son must be as You created him.",,
273,every_hour,The stillness of the peace of God is mine.,"Father, Your peace is mine. What need have I to fear that anything can rob me of what You would have me keep? I cannot lose Your gifts to me. And so the peace You gave Your Son is with me still, in quietness and in my own eternal love for You.",,
274,every_hour,Today belongs to love. Let me not fear.,"Father, today I would let all things be as You created them, and give Your Son the honor due his sinlessness; the love of brother to his brother and his Friend. Through this I am redeemed. Through this as well the truth will enter where illusions were, light will replace all darkness, and Your Son will know he is as You created him.",,
275,every_hour,God's healing Voice protects all things today.,"Your healing Voice protects all things today, and so I leave all things to You. I need be anxious over nothing. For Your Voice will tell me what to do and where to go; to whom to speak and what to say to him, what thoughts to think, what words to give the world. The safety that I bring is given me. Father, Your Voice protects all things through me.",,
276,every_hour,The Word of God is given me to speak.,"Father, Your Word is mine. And it is this that I would speak to all my brothers, who are given me to cherish as my own, as I am loved and blessed and saved by You.",,
277,every_hour,Let me not bind Your Son with laws I made.,"Your Son is free, my Father. Let me not imagine I have bound him with the laws I made to rule the body. He is not subject to any laws I made by which I try to make the body more secure. He is not changed by what is changeable. He is not slave to any laws of time. He is as You created him, because he knows no law except the law of love.",,
278,every_hour,"If I am bound, my Father is not free.","Father, I ask for nothing but the truth. I have had many foolish thoughts about myself and my creation, and have brought a dream of fear into my mind. Today, I would not dream. I choose the way to You instead of madness and instead of fear. For truth is safe, and only love is sure.",,
279,every_hour,Creation's freedom promises my own.,"I will accept Your promises today, and give my faith to them. My Father loves the Son Whom He created as His Own. Would You withhold the gifts You gave to me?",,
280,every_hour,What limits can I lay upon God's Son?,"Today let me give honor to Your Son, for thus alone I find the way to You. Father, I lay no limits on the Son You love and You created limitless. The honor that I give to him is Yours, and what is Yours belongs to me as well.",,
281,every_hour,I can be hurt by nothing but my thoughts.,"Father, Your Son is perfect. When I think that I am hurt in any way, it is because I have forgotten who I am, and that I am as You created me. Your Thoughts can only bring me happiness. If ever I am sad or hurt or ill, I have forgotten what You think, and put my little meaningless ideas in place of where Your Thoughts belong, and where they are. I can be hurt by nothing but my thoughts. The Thoughts I think with You can only bless. The Thoughts I think with You alone are true.",,
282,every_hour,I will not be afraid of love today.,"Father, Your Name is Love and so is mine. Such is the truth. And can the truth be changed by merely giving it another name? The name of fear is simply a mistake. Let me not be afraid of truth today.",,
283,every_hour,My true Identity abides in You.,"Father, I made an image of myself, and it is this I call the Son of God. Yet is creation as it always was, for Your creation is unchangeable. Let me not worship idols. I am he my Father loves. My holiness remains the light of Heaven and the Love of God. Is not what is beloved of You secure? Is not the light of Heaven infinite? Is not Your Son my true Identity, when You created everything that is?",,
